Individual,Trial,Repetition,Result_type,Result,Sex,SVL,Mass
CATEST23,Act,A,seconds_moving,140,F,745,197.8
CATEST23,Act,B,seconds_moving,215,F,745,197.8
CATEST6,Act,A,seconds_moving,254,M,971,771
CATEST17,Act,A,seconds_moving,600,F,775,258.2
CATEST7,Act,B,seconds_moving,606,M,908,406
CATEST24,Act,A,seconds_moving,959,F,741,276.4
CATEST6,Act,B,seconds_moving,1203,M,971,771
CATEST12,Act,B,seconds_moving,1352,M,792,283
CATEST17,Act,B,seconds_moving,1922,F,775,258.2
CATEST5,Act,A,seconds_moving,2064,F,82.2,335
CATEST13,Act,A,seconds_moving,2181,M,696,287
CATEST19,Act,B,seconds_moving,2304,M,769,215.7
CATEST12,Act,A,seconds_moving,2347,M,792,283
CATEST16,Act,A,seconds_moving,2414,M,699,232
CATEST18,Act,A,seconds_moving,2729,F,684,156.8
CATEST9,Act,B,seconds_moving,2769,M,800,384.1
CATEST24,Act,B,seconds_moving,3191,F,741,276.4
CATEST11,Act,A,seconds_moving,3606,F,830,325
CATEST8,Act,B,seconds_moving,3773,M,920,454
CATEST7,Act,A,seconds_moving,3786,M,908,406
CATEST11,Act,B,seconds_moving,3962,F,830,325
CATEST13,Act,B,seconds_moving,4259,M,696,287
CATEST5,Act,B,seconds_moving,4359,F,82.2,335
CATEST2,Act,A,seconds_moving,4375,F,782,232
CATEST21,Act,A,seconds_moving,4628,M,831,359.6
CATEST14,Act,A,seconds_moving,4798,M,679,159
CATEST2,Act,B,seconds_moving,5010,F,782,232
CATEST19,Act,A,seconds_moving,5047,M,769,215.7
CATEST18,Act,B,seconds_moving,5139,F,684,156.8
CATEST15,Act,A,seconds_moving,5384,M,933,454.3
CATEST3,Act,A,seconds_moving,5423,M,840,382
CATEST15,Act,B,seconds_moving,5487,M,933,454.3
CATEST14,Act,B,seconds_moving,5796,M,679,159
CATEST22,Act,A,seconds_moving,5849,M,702,150.6
CATEST22,Act,B,seconds_moving,5875,M,702,150.6
CATEST16,Act,B,seconds_moving,6089,M,699,232
CATEST10,Act,A,seconds_moving,6175,M,1002,772
CATEST9,Act,A,seconds_moving,6593,M,800,384.1
CATEST21,Act,B,seconds_moving,6714,M,831,359.6
CATEST10,Act,B,seconds_moving,7221,M,1002,772
CATEST8,Act,A,seconds_moving,7290,M,920,454
CATEST4,Act,A,seconds_moving,7357,M,890,441
CATEST3,Act,B,seconds_moving,8179,M,840,382
CATEST4,Act,B,seconds_moving,8555,M,890,441
CATEST20,Act,B,seconds_moving,10509,M,687,193.6
CATEST20,Act,A,seconds_moving,11222,M,687,193.6
CATEST15,Agg1,A,score_behavior,0,M,933,454.3
CATEST2,Agg1,A,score_behavior,0,F,782,232
CATEST3,Agg1,A,score_behavior,0,M,840,382
CATEST3,Agg1,B,score_behavior,0,M,840,382
CATEST4,Agg1,A,score_behavior,0,M,890,441
CATEST5,Agg1,A,score_behavior,0,F,82.2,335
CATEST7,Agg1,A,score_behavior,0,M,908,406
CATEST7,Agg1,B,score_behavior,0,M,908,406
CATEST9,Agg1,A,score_behavior,0,M,800,384.1
CATEST10,Agg1,A,score_behavior,0,M,1002,772
CATEST10,Agg1,B,score_behavior,0,M,1002,772
CATEST12,Agg1,B,score_behavior,0,M,792,283
CATEST14,Agg1,A,score_behavior,0,M,679,159
CATEST14,Agg1,B,score_behavior,0,M,679,159
CATEST15,Agg1,B,score_behavior,0,M,933,454.3
CATEST2,Agg1,B,score_behavior,1,F,782,232
CATEST4,Agg1,B,score_behavior,1,M,890,441
CATEST5,Agg1,B,score_behavior,1,F,82.2,335
CATEST6,Agg1,A,score_behavior,1,M,971,771
CATEST6,Agg1,B,score_behavior,1,M,971,771
